TAXON_ERROR;TAXON_NEW;Included in ERL 2024
Chrysogaster ceomiteriorum;Chrysogaster cemiteriorum;Yes
Chrysogaster chalybeata;Chrysogaster cemiteriorum;Yes
Chrysogaster coemiteriorum;Chrysogaster cemiteriorum;Yes
Chrysogaster curvistylus;Melanogaster curvistylus;Yes
Chrysogaster hirtella;Melanogaster hirtella;Yes
Chrysogaster jaroslavensis;Melanogaster jaroslavensis;Yes
Chrysogaster mediterraneus;Chrysogaster mediterraneus;Yes
Chrysogaster Meigen,;-;No
Chrysogaster nuda;Melanogaster nuda;Yes
Chrysogaster rondanii;Chrysogaster rondanii;Yes
Chrysogaster rondanii/vires;-;No
Chrysogaster simplex;Chrysogaster simplex;Yes
Chrysogaster solstitialis;Chrysogaster solstitialis;Yes
Chrysogaster sp;-;No
Chrysogaster sp nova;-;No
Chrysogaster sp.;-;No
Chrysogaster virescens;Chrysogaster virescens;Yes
Chrysosyrphus nasuta;Chrysosyrphus nasutus;Yes
Chrysosyrphus nasutus;Chrysosyrphus nasutus;Yes
Chrysosyrphus niger;Chrysosyrphus niger;Yes
Chrysotoxum;-;No
Chrysotoxum festivum;Chrysotoxum festivum;Yes
Chrysotoxum arcuatum;Chrysotoxum arcuatum;Yes
Chrysotoxum bicinctum;Chrysotoxum bicinctum;Yes
Chrysotoxum bicintum;Chrysotoxum bicinctum;Yes
Chrysotoxum cautum;Chrysotoxum cautum;Yes
Chrysotoxum fasciolatum;Chrysotoxum fasciolatum;Yes
Chrysotoxum festivum;Chrysotoxum festivum;Yes
Chrysotoxum intermedium;Chrysotoxum intermedium;Yes
Chrysotoxum octomaculatum;Chrysotoxum octomaculatum;Yes
Chrysotoxum vernale;Chrysotoxum vernale;Yes
Chrysotoxum verralli;Chrysotoxum verralli;Yes
Chrysotoxum ?;-;No
Chrysotoxum aff;-;No
Chrysotoxum aff. festivum;-;No
Chrysotoxum aff. gracile;-;No
Chrysotoxum aff. vernale;-;No
Chrysotoxum antennalis;Chrysotoxum antennalis;No
Chrysotoxum arcuatum;Chrysotoxum arcuatum;Yes
Chrysotoxum bicincta;Chrysotoxum bicinctum;Yes
Chrysotoxum bicinctum;Chrysotoxum bicinctum;Yes
Chrysotoxum bicintum;Chrysotoxum bicinctum;Yes
Chrysotoxum cautum;Chrysotoxum cautum;Yes
