TAXON_ERRORS;TAXON_NEW;Included in ERL 2024
Rhodanthidium caturigense;Rhodanthidium caturigense;Yes
Rhodanthidium infuscatum;Rhodanthidium infuscatum;Yes
Rhodanthidium infuscatum ;Rhodanthidium infuscatum;Yes
Rhodanthidium ordonezi;Rhodanthidium ordonezi;No
Rhodanthidium rufocintum;Rhodanthidium rufocinctum;Yes
Rhodanthidium septemdentatum;Rhodanthidium septemdentatum;Yes
Rhodanthidium septemdentatum ;Rhodanthidium septemdentatum;Yes
Rhodanthidium septemdentatum faciale;Rhodanthidium septemdentatum;Yes
Rhodanthidium septemdentatum rubricans;Rhodanthidium septemdentatum;Yes
Rhodanthidium septemspinosum;Anthidium septemspinosum;Yes
Rhodanthidium septendentatum;Rhodanthidium septemdentatum;Yes
Rhodanthidium siculum;Rhodanthidium siculum;Yes
Rhodanthidium siculum ;Rhodanthidium siculum;Yes
Rhodanthidium sp.;-;No
Rhodanthidium sticticum;Rhodanthidium sticticum;Yes
Rhodanthidium sticticum ;Rhodanthidium sticticum;Yes
Rhodanthidium superbum;Rhodanthidium superbum;No
Rhodanthium sticticum ;Rhodanthidium sticticum;Yes
Rhodantidium caturigense ;Rhodanthidium caturigense;Yes
Rhopalomelissa esakii;Lipotriches ceratina;No
Rhophites quinquespinosus;Rophites quinquespinosus;Yes
Rhophitoides anatolicus;Rhophitoides anatolicus;No
Rhophitoides canus;Rhophitoides canus;Yes
Rhophitoides epiroticus;Rhophitoides epiroticus;Yes
Rhophitoides theryi;Rhophitoides theryi;No
Rophites algirus;Rophites algirus;Yes
Rophites algirus ;Rophites algirus;Yes
Rophites algirus algirus;Rophites algirus;Yes
Rophites algirus graecus;Rophites algirus;Yes
Rophites algirus graecus ;Rophites algirus;Yes
Rophites algirus hethiticus;Rophites algirus;Yes
Rophites algirus montanus;Rophites algirus;Yes
Rophites algirus schwarzi;Rophites algirus;Yes
Rophites algirus trispinosus;Rophites algirus;Yes
Rophites anatolicus;Rophites anatolicus;No
Rophites atratus;Dufourea atrata;No
Rophites bidentatus;Dufourea minutissima;No
Rophites bluethgeni;Rophites quinquespinosus;Yes
Rophites brachycephalus;Dufourea brachycephala;No
Rophites cana;Rhophitoides canus;Yes
Rophites canus;Rhophitoides canus;Yes
Rophites caucasicus;Rophites caucasicus;No
Rophites chagrinus;Dufourea chagrina;No
Rophites clypealis;Rophites clypealis;Yes
Rophites clypealis (stepposus);Rophites clypealis;Yes
Rophites deserticulus;Rophites deserticulus;No
Rophites dubiosus;Dufourea graeca;Yes
Rophites epiroticus;Rhophitoides epiroticus;Yes
Rophites foveolatus;Rophites foveolatus;No
Rophites gkuruensis;Rophites gkuruensis;No
Rophites gruenwaldti;Rophites gruenwaldti;No
Rophites gusenleitneri;Rophites gusenleitneri;No
Rophites hartmanii;Rophites hartmanni;Yes
Rophites hartmanni;Rophites hartmanni;Yes
Rophites hartmanni ;Rophites hartmanni;Yes
Rophites heinrichi;Rophites heinrichi;No
Rophites hellenicus;Rophites hellenicus;Yes
Rophites hellenicus ;Rophites hellenicus;Yes
Rophites inermis;Dufourea inermis;Yes
Rophites kashmirensis;Rophites kashmirensis;No
Rophites ladakhensis;Rophites ladakhensis;No
Rophites leclercqi;Rophites leclercqi;Yes
Rophites longicornis;Dufourea longicornis;No
Rophites mandibularis;Rophites mandibularis;No
Rophites maroccanus;Dufourea maroccana;No
Rophites nigripes;Rophites nigripes;No
Rophites nigrohirtus;Rophites nigrohirtus;No
Rophites nodicornis;Dufourea nodicornis;No
Rophites pannonicus;Rophites quinquespinosus;Yes
Rophites paradoxus;Dufourea paradoxa;Yes
Rophites quadridentatus;Dufourea quadridentata;No
Rophites quinquespinosus;Rophites quinquespinosus;Yes
Rophites quinquespinosus ;Rophites quinquespinosus;Yes
Rophites sp.;-;No
Rophites sp. fem.;-;No
Rophites theryi;Rhophitoides theryi;No
Rophites thracius;Rophites thracius;Yes
Rophites transitorius;Rophites transitorius;No
Rophites trispinosus;Rophites algirus;Yes
Rophites tunesius;Dufourea punica;No
Rophitoides epiroticus ;Rhophitoides epiroticus;Yes
Scaptotrigona mexicana;Scaptotrigona mexicana;No
Scaptotrigona pectoralis;Scaptotrigona pectoralis;No
Schmiedeknechtia brevicornis;Schmiedeknechtia brevicornis;No
Schmiedeknechtia oraniensis;Schmiedeknechtia oraniensis;Yes
Schmiedeknechtia verhoeffi;Schmiedeknechtia verhoeffi;No
Schmiedeknechtia walteri;Schmiedeknechtia walteri;No
Seladonia cephalica;Seladonia cephalica;Yes
Seladonia clangula;Seladonia clangula;No
Seladonia concinna;Seladonia concinna;Yes
Seladonia confusa;Seladonia confusa;Yes
Seladonia confusa alpina;Seladonia confusa;Yes
Seladonia confusa glacialis;Seladonia confusa;Yes
Seladonia confusa pelagia;Seladonia confusa;Yes
Seladonia confusa perkinsi;Seladonia confusa;Yes
Seladonia cretella;Seladonia cretella;Yes
Seladonia cyprica;Seladonia cyprica;Yes
Seladonia exquisita;Seladonia exquisita;No
Seladonia foana;Seladonia foana;No
Seladonia gavarnica;Seladonia gavarnica;Yes
Seladonia gemmea;Seladonia gemmea;Yes
Seladonia gemmella;Seladonia gemmella;Yes
Seladonia gemmeus;Seladonia gemmea;Yes
Seladonia hotoni;Seladonia hotoni;No
Seladonia kessleri;Seladonia kessleri;Yes
Seladonia kuhlmanni;Seladonia kuhlmanni;No
Seladonia laticephala;Seladonia laticephala;No
Seladonia leucahenea;Seladonia leucahenea;Yes
Seladonia leucahenea arenosus;Seladonia leucahenea;Yes
Seladonia leucahenea leucahenea;Seladonia leucahenea;Yes
Seladonia leucahenea nivalis;Seladonia leucahenea;Yes
Seladonia leucahenea occipitalis;Seladonia leucahenea;Yes
Seladonia microcardia;Seladonia microcardia;Yes
Seladonia orientalis;Seladonia orientalis;No
Seladonia orientana;Seladonia orientana;Yes
Seladonia phryganica;Seladonia phryganica;Yes
Seladonia pollinosa;Seladonia pollinosa;Yes
Seladonia pseudomucorea;Seladonia pseudomucorea;Yes
Seladonia seladonia;Seladonia seladonia;Yes
"Seladonia seladonia	";Seladonia seladonia;Yes
Seladonia semitecta;Seladonia semitecta;Yes
"Seladonia semitecta	";Seladonia semitecta;Yes
Seladonia smaragdula;Seladonia smaragdula;Yes
Seladonia smaragdula group;-;No
Seladonia sp.;-;No
Seladonia subaurata;Seladonia subaurata;Yes
Seladonia submediterranea;Seladonia submediterranea;Yes
Seladonia tumulorum;Seladonia tumulorum;Yes
Seladonia tumulorum higashi;Seladonia tumulorum;Yes
Seladonia tumulorum kyrnos;Seladonia tumulorum;Yes
Seladonia tumulorum oros;Seladonia tumulorum;Yes
Seladonia tumulorum tumulorum;Seladonia tumulorum;Yes
Simpanurgus phyllopodus;Simpanurgus phyllopodus;Yes
Spatulariella alpinus;Hylaeus alpinus;Yes
Sphecodes;-;No
Sphecodes   nomioidis;Sphecodes nomioidis;Yes
Sphecodes   olivieri ;Sphecodes olivieri;Yes
Sphecodes   pellucidus ;Sphecodes pellucidus;Yes
Sphecodes   pinguiculus ;Sphecodes pinguiculus;Yes
Sphecodes   pseudofasciatus ;Sphecodes pseudofasciatus;Yes
Sphecodes   puncticeps ;Sphecodes puncticeps;Yes
Sphecodes   reticulatus ;Sphecodes reticulatus;Yes
Sphecodes   rubicundus;Sphecodes rubicundus;Yes
Sphecodes   rufiventris ;Sphecodes rufiventris;Yes
Sphecodes   scabricollis ;Sphecodes scabricollis;Yes
Sphecodes   schenckii ;Sphecodes schenckii;Yes
Sphecodes   spinulosus ;Sphecodes spinulosus;Yes
Sphecodes  dusmeti ;Sphecodes dusmeti;Yes
Sphecodes  hirtellus ;Sphecodes hirtellus;Yes
Sphecodes  marginatus ;Sphecodes marginatus;Yes
Sphecodes  marginatus larochei;Sphecodes larochei;Yes
Sphecodes  miniatus ;Sphecodes miniatus;Yes
Sphecodes  pinguiculus ;Sphecodes pinguiculus;Yes
Sphecodes  pseudofasciatus ;Sphecodes pseudofasciatus;Yes
Sphecodes  sp.;-;No
Sphecodes  zangherii ;Sphecodes zangherii;Yes
Sphecodes albilabris;Sphecodes albilabris;Yes
Sphecodes albilabris ;Sphecodes albilabris;Yes
Sphecodes albilabris  ;Sphecodes albilabris;Yes
Sphecodes albilabris albilabris;Sphecodes albilabris;Yes
Sphecodes albilabris rubripes;Sphecodes rubripes;Yes
Sphecodes algeriensis;Sphecodes algeriensis;Yes
Sphecodes alternatus;Sphecodes alternatus;Yes
Sphecodes anatolicus;Sphecodes anatolicus;Yes
Sphecodes barbatus;Sphecodes barbatus;Yes
Sphecodes cephalotes;Sphecodes monilicornis;Yes
Sphecodes cfr. zangherii ;-;No
Sphecodes combai;Sphecodes combai;Yes
Sphecodes crassanus;Sphecodes crassanus;Yes
Sphecodes crassus;Sphecodes crassus;Yes
Sphecodes crassus ;Sphecodes crassus;Yes
Sphecodes creticus;Sphecodes creticus;Yes
Sphecodes cristatus;Sphecodes cristatus;Yes
Sphecodes cristatus,;Sphecodes cristatus;Yes
Sphecodes croaticus;Sphecodes croaticus;Yes
Sphecodes croaticus ;Sphecodes croaticus;Yes
Sphecodes croaticus cypricus ;Sphecodes cypricus;Yes
Sphecodes cypricus;Sphecodes cypricus;Yes
Sphecodes dusmeti;Sphecodes dusmeti;Yes
Sphecodes ephippium;Sphecodes ephippius;Yes
Sphecodes ephippius;Sphecodes ephippius;Yes
Sphecodes ephippius ;Sphecodes ephippius;Yes
Sphecodes ferruginatus;Sphecodes ferruginatus;Yes
Sphecodes ferruginatus ;Sphecodes ferruginatus;Yes
Sphecodes geoffrellus;Sphecodes geoffrellus;Yes
Sphecodes geoffrellus ;Sphecodes geoffrellus;Yes
Sphecodes geoffrellus atlassa;Sphecodes geoffrellus;Yes
Sphecodes geoffrellus geoffrellus;Sphecodes geoffrellus;Yes
Sphecodes geoffrellus hakkariensis;Sphecodes geoffrellus;Yes
Sphecodes geofrellus;Sphecodes geoffrellus;Yes
Sphecodes gibbus;Sphecodes gibbus;Yes
Sphecodes gibbus ;Sphecodes gibbus;Yes
Sphecodes gibbus gibbus;Sphecodes gibbus;Yes
Sphecodes gibbus rufispinosus;Sphecodes gibbus;Yes
Sphecodes gomerensis;Sphecodes gomerensis;Yes
Sphecodes heraclei;Sphecodes heraclei;No
Sphecodes hirtellus;Sphecodes hirtellus;Yes
Sphecodes hyalinatus;Sphecodes hyalinatus;Yes
Sphecodes hyalinatus ;Sphecodes hyalinatus;Yes
Sphecodes hyalinatus  ;Sphecodes hyalinatus;Yes
Sphecodes intermedius;Sphecodes intermedius;Yes
Sphecodes japonicus;Sphecodes japonicus;No
Sphecodes labialis;Sphecodes labialis;No
Sphecodes larochei;Sphecodes larochei;Yes
Sphecodes longuloides;Sphecodes longuloides;Yes
Sphecodes longulus;Sphecodes longulus;Yes
Sphecodes longulus ;Sphecodes longulus;Yes
Sphecodes majalis;Sphecodes majalis;Yes
Sphecodes marginatus;Sphecodes marginatus;Yes
Sphecodes marginatus ;Sphecodes marginatus;Yes
Sphecodes marginatus  ;Sphecodes marginatus;Yes
Sphecodes miniatus;Sphecodes miniatus;Yes
Sphecodes miniatus ;Sphecodes miniatus;Yes
Sphecodes monilicornis;Sphecodes monilicornis;Yes
Sphecodes monilicornis ;Sphecodes monilicornis;Yes
Sphecodes monilicornis berberus;Sphecodes monilicornis;Yes
Sphecodes monilicornis monilicornis;Sphecodes monilicornis;Yes
Sphecodes monilicornis quadratus;Sphecodes monilicornis;Yes
Sphecodes niger;Sphecodes niger;Yes
Sphecodes niger ;Sphecodes niger;Yes
Sphecodes nomioidis;Sphecodes nomioidis;Yes
Sphecodes olivieri;Sphecodes olivieri;Yes
Sphecodes pellucidus;Sphecodes pellucidus;Yes
Sphecodes pellucidus ;Sphecodes pellucidus;Yes
Sphecodes piceohirtus;Sphecodes piceohirtus;Yes
Sphecodes pilicornis;Sphecodes pellucidus;Yes
Sphecodes pinguiculus;Sphecodes pinguiculus;Yes
Sphecodes pseudocrassus;Sphecodes pseudocrassus;Yes
Sphecodes pseudofasciatus;Sphecodes pseudofasciatus;Yes
Sphecodes pseudofasciatus ;Sphecodes pseudofasciatus;Yes
Sphecodes puncticeps;Sphecodes puncticeps;Yes
Sphecodes puncticeps ;Sphecodes puncticeps;Yes
Sphecodes reticulatus;Sphecodes reticulatus;Yes
Sphecodes reticulatus ;Sphecodes reticulatus;Yes
Sphecodes rubicundus;Sphecodes rubicundus;Yes
Sphecodes rubicundus ;Sphecodes rubicundus;Yes
Sphecodes rubripes;Sphecodes rubripes;Yes
Sphecodes ruficrus;Sphecodes ruficrus;Yes
Sphecodes ruficrus ruficrus;Sphecodes ruficrus;Yes
Sphecodes rufiventris;Sphecodes rufiventris;Yes
Sphecodes sareptensis;Sphecodes pinguiculus;Yes
Sphecodes scabricollis;Sphecodes scabricollis;Yes
Sphecodes schencki;Sphecodes schenckii;Yes
Sphecodes schenckii;Sphecodes schenckii;Yes
Sphecodes simillimus;Sphecodes simillimus;No
Sphecodes sp.;-;No
Sphecodes sp. ;-;No
Sphecodes sp. (rubicundus)?;-;No
Sphecodes spinulosus;Sphecodes spinulosus;Yes
Sphecodes subovalis;Sphecodes rufiventris;Yes
Sphecodes warnckei;Sphecodes warnckei;No
Sphecodes zangherii;Sphecodes zangherii;Yes
Spinopasites spinotus;Spinopasites spinotus;No
Steganomus africanus;Steganomus junodi;No
Steganomus ennediensis;Steganomus ennediensis;No
Steganomus junodi;Steganomus junodi;No
Steganomus ruficaudis;Steganomus junodi;No
Stelis  sp.;-;No
Stelis (Heterostelis) annulata;Stelis annulata;Yes
Stelis (Protostelis) signata flavescens;Stelis signata;Yes
Stelis (Pseudostelis) signata flavescens;Stelis signata;Yes
Stelis (Stelidomorpha) nasuta;Stelis nasuta;Yes
Stelis (Stelis) aculeata;Stelis aculeata;Yes
Stelis (Stelis) breviuscula ;Stelis breviuscula;Yes
Stelis aberrans;Biastes brevicornis;Yes
Stelis aegyptiaca;Stelis aegyptiaca;Yes
Stelis annulata;Stelis annulata;Yes
Stelis breviuscula;Stelis breviuscula;Yes
Stelis breviuscula ;Stelis breviuscula;Yes
Stelis franconica;Stelis franconica;Yes
Stelis gigantea;Stelis gigantea;Yes
Stelis minima;Stelis minima;Yes
Stelis minuta;Stelis minuta;Yes
Stelis minuta ;Stelis minuta;Yes
Stelis moravica;Stelis punctulatissima;Yes
Stelis murina;Stelis murina;Yes
Stelis nasuta;Stelis nasuta;Yes
Stelis odontopyga;Stelis odontopyga;Yes
Stelis odontopyga ;Stelis odontopyga;Yes
Stelis ornatula;Stelis ornatula;Yes
Stelis ornatula  ;Stelis ornatula;Yes
Stelis ortizi;Stelis ortizi;Yes
Stelis phaeoptera;Stelis phaeoptera;Yes
Stelis phaeoptera ;Stelis phaeoptera;Yes
Stelis phaoptera;Stelis phaeoptera;Yes
Stelis punctualissima;Stelis punctulatissima;Yes
Stelis punctulatissima;Stelis punctulatissima;Yes
Stelis ruficornis;Stelis ruficornis;Yes
Stelis signata;Stelis signata;Yes
Stelis signata ;Stelis signata;Yes
Stelis simillima;Stelis simillima;Yes
Stelis sp.;-;No
Stelis sp. ?saxicola;-;No
Stenoheriades  asiaticus ;Stenoheriades asiatica;No
Stenoheriades coelostoma;Stenoheriades coelostoma;Yes
Stenoheriades eingeddicus;Stenoheriades eingeddica;No
Stenoheriades marcoccana;Stenoheriades maroccana;Yes
Stenoheriades maroccana;Stenoheriades maroccana;Yes
Svastra aegis;Svastra aegis;No
Svastra atripes;Svastra atripes;No
Systropha  sp.;-;No
Systropha androsthenes;Systropha androsthenes;No
Systropha bispinosa;Systropha bispinosa;No
Systropha christae;Systropha christae;No
Systropha curvicornis;Systropha curvicornis;Yes
Systropha curvicornis ;Systropha curvicornis;Yes
Systropha diacantha;Systropha diacantha;No
Systropha difformis;Systropha difformis;No
Systropha glabriventris;Systropha glabriventris;No
Systropha hirsuta;Systropha hirsuta;No
Systropha iranica;Systropha iranica;No
Systropha kakhastaniensis;Systropha kazakhstaniensis;No
Systropha kazakhstaniensis;Systropha kazakhstaniensis;No
Systropha krigei;Systropha krigei;No
Systropha maroccana;Systropha maroccana;No
Systropha martialae;Systropha martialae;No
Systropha norae;Systropha norae;No
Systropha pici;Systropha pici;No
Systropha planidens;Systropha planidens;Yes
Systropha planidens ;Systropha planidens;Yes
Systropha planidens anatolica;Systropha anatolica;No
Systropha planidens grandimargo;Systropha grandimargo;Yes
Systropha planidens planidens;Systropha planidens;Yes
Systropha popovi;Systropha popovi;No
Systropha punjabensis;Systropha punjabensis;No
Systropha ruficornis;Systropha ruficornis;No
Systropha tadjika;Systropha tadjika;No
Systropha tropicalis;Systropha tropicalis;No
Systropha ugandensis;Systropha ugandensis;No
Tarsalia ancyliformis;Tarsalia ancyliformis;Yes
Tarsalia ancyliformis mediterranea;Tarsalia ancyliformis;Yes
Tarsalia hirtipes;Tarsalia hirtipes;Yes
Tarsalia mimetes;Tarsalia mimetes;No
Tarsalia persica;Tarsalia persica;No
Tarsalia persica ;Tarsalia persica;No
Tetralonia  dentata;Tetralonia dentata;Yes
Tetralonia  fulvescens;Tetralonia fulvescens;Yes
Tetralonia  malvae;Tetralonia malvae;Yes
Tetralonia  sp.;-;No
Tetralonia alternans;Eucera ruficollis;Yes
Tetralonia alticincta;Tetralonia alticincta;Yes
Tetralonia basalis;Tetralonia salicariae;Yes
Tetralonia cressa;Eucera tricincta;Yes
Tetralonia darvazensis;Tetralonia darvazensis;No
Tetralonia dentata;Tetralonia dentata;Yes
Tetralonia dispar;Tetralonia dispar;No
Tetralonia fulvescens;Tetralonia fulvescens;Yes
Tetralonia graja;Tetralonia graja;Yes
Tetralonia hohmanni;Tetralonia hohmanni;Yes
Tetralonia iberica;Tetralonia iberica;Yes
Tetralonia inulae;Tetralonia inulae;Yes
Tetralonia julliani;Tetralonia julliani;Yes
Tetralonia lanzarotensis;Tetralonia lanzarotensis;Yes
Tetralonia macroglossa;Tetralonia malvae;Yes
Tetralonia macroglossae;Tetralonia malvae;Yes
Tetralonia malvae;Tetralonia malvae;Yes
Tetralonia mavromoustakisi;Eucera tricincta;Yes
Tetralonia mongoliae;Tetralonia mongoliae;No
Tetralonia nana;Tetralonia nana;Yes
Tetralonia padri;Tetralonia padri;No
Tetralonia phimigera;Tetralonia phimigera;No
Tetralonia plumigera;Eucera plumigera;Yes
Tetralonia pollinosa;Tetralonia pollinosa;Yes
Tetralonia povolnyi;Tetralonia povolnyi;No
Tetralonia radoszkovskyi;Eucera alborufa;Yes
Tetralonia salicariae;Tetralonia salicariae;Yes
Tetralonia snizeki;Tetralonia snizeki;No
Tetralonia spectabilis;Tetralonia spectabilis;No
Tetralonia tricincta;Eucera tricincta;Yes
Tetralonia tricineta;Eucera tricincta;Yes
Tetralonia trimera;Tetralonia trimera;No
Tetralonia tsavoensis;Tetralonia tsavoensis;No
Tetraloniella alticincta;Tetralonia alticincta;Yes
Tetraloniella dentata;Tetralonia dentata;Yes
Tetraloniella fulvescens;Tetralonia fulvescens;Yes
Tetraloniella inulae;Tetralonia inulae;Yes
Tetraloniella pollinosa;Tetralonia pollinosa;Yes
Tetraloniella salicariae;Tetralonia salicariae;Yes
Thrinchostoma amanicum;Thrincohalictus prognathus;Yes
Thrinchostoma bequaerti;Thrinchostoma bequaerti;No
Thrinchostoma bicometes;Thrinchostoma bicometes;No
Thrinchostoma emini;Thrinchostoma emini;No
Thrinchostoma kandti;Thrinchostoma kandti;No
Thrinchostoma lettowvorbecki;Thrinchostoma lettowvorbecki;No
Thrinchostoma millari;Thrinchostoma millari;No
Thrinchostoma nachtigali;Thrinchostoma nachtigali;No
Thrinchostoma orchidarum;Thrinchostoma orchidarum;No
Thrinchostoma othonnae;Thrinchostoma othonnae;No
Thrinchostoma petersi;Thrinchostoma petersi;No
Thrinchostoma rubrocinctum;Thrinchostoma rubrocinctum;No
Thrinchostoma silvaticum;Thrinchostoma silvaticum;No
Thrinchostoma sjostedti;Thrinchostoma sjostedti;No
Thrinchostoma torridum;Thrinchostoma torridum;No
Thrinchostoma ugandae;Thrinchostoma ugandae;No
Thrinchostoma uluguruensis;Thrinchostoma uluguruensis;No
Thrinchostoma upembensis;Thrinchostoma upembensis;No
Thrinchostoma wissmanni;Thrinchostoma wissmanni;No
Thrincohalictus prognathus;Thrincohalictus prognathus;Yes
Thyreomelecta aff merviensis;Thyreus merviensis;No
Thyreomelecta bidentata;Thyreus bidentata;No
Thyreomelecta dimidiatipuncta;Thyreus dimidiatipuncta;No
Thyreomelecta kirghisia;Thyreus kirghisa;No
Thyreomelecta merviensis;Thyreus merviensis;No
Thyreomelecta paucimaculosa;Thyreus paucimaculosa;No
Thyreomelecta propinqua;Thyreus propinqua;No
Thyreomelecta sibirica;Thyreus sibirica;No
Thyreus  sp.;-;No
Thyreus aberrans;Thyreus aberrans;No
Thyreus abyssinicus;Thyreus abyssinicus;No
Thyreus aff affinis;-;No
Thyreus affinis;Thyreus affinis;Yes
Thyreus albomaculatus;Thyreus albomaculatus;No
Thyreus altaicus;Thyreus altaicus;No
Thyreus axillaris;Thyreus axillaris;No
Thyreus bimaculatus;Thyreus bimaculatus;No
Thyreus biseriatus;Thyreus biseriatus;No
Thyreus bouissoui;Thyreus bouissoui;No
Thyreus bouyssoui;Thyreus bouyssoui;No
Thyreus cf truncatus;-;No
Thyreus cfr. chalceatus;-;No
Thyreus cfr. elegans;-;No
Thyreus delumbatus;Thyreus delumbatus;No
Thyreus elegans;Thyreus elegans;Yes
Thyreus fallibilis;Thyreus fallibilis;No
Thyreus hellenicus;Thyreus hellenicus;Yes
Thyreus himalayensis;Thyreus himalayensis;No
Thyreus hirtus;Thyreus hirtus;Yes
Thyreus histrionicus;Thyreus histrionicus;Yes
Thyreus histrionicus ;Thyreus histrionicus;Yes
Thyreus hohmanni;Thyreus hohmanni;Yes
Thyreus hyalinatus;Thyreus hyalinatus;No
Thyreus illudens;Thyreus illudens;No
Thyreus impexus;Thyreus impexus;No
Thyreus incultus;Thyreus incultus;No
Thyreus intrerruptus;Thyreus intrerruptus;No
Thyreus intrudens;Thyreus intrudens;No
Thyreus istrionicus;Thyreus histrionicus;Yes
Thyreus laevicrus;Thyreus laevicrus;No
Thyreus mauretaniensis;Thyreus mauretaniensis;No
Thyreus neavei;Thyreus neavei;No
Thyreus nitidulus;Thyreus nitidulus;No
Thyreus nubicus;Thyreus nubicus;No
Thyreus orbatus;Thyreus orbatus;Yes
Thyreus parthenope;Thyreus parthenope;No
Thyreus picaron;Thyreus picaron;Yes
Thyreus picaron ;Thyreus picaron;Yes
Thyreus piceus;Thyreus piceus;No
Thyreus picicornis;Thyreus picicornis;No
Thyreus pictus;Thyreus pictus;No
Thyreus plumatus;Thyreus plumatus;No
Thyreus plurinotata;Thyreus plurinotata;No
Thyreus praevalens;Thyreus praevalens;No
Thyreus pretextus;Thyreus pretextus;No
Thyreus priesneri;Thyreus priesneri;No
Thyreus ramosellus;Thyreus ramosellus;No
Thyreus ramosellus/takaonis;-;No
Thyreus ramosus;Thyreus ramosus;Yes
Thyreus ramosus ;Thyreus ramosus;Yes
Thyreus ruficornis;Thyreus ruficornis;No
Thyreus scutellaris;Thyreus scutellaris;Yes
Thyreus scutellaris ;Thyreus scutellaris;Yes
Thyreus sp. 1;-;No
Thyreus sp. 2;-;No
Thyreus sp. 3;-;No
Thyreus sp. 4;-;No
Thyreus sp. 5;-;No
Thyreus sp. 6;-;No
Thyreus tricuspis;Thyreus tricuspis;No
Thyreus truncatus;Thyreus truncatus;Yes
Thyreus truncatus ;Thyreus truncatus;Yes
Thyreus unicinctus;Thyreus unicinctus;No
Thyreus uniformis;Thyreus uniformis;No
Thyreus wallacei;Thyreus wallacei;No
Trachusa  pubescens ;Trachusa pubescens;Yes
Trachusa  sp.;-;No
Trachusa aff. pubescens s.str.;-;No
Trachusa anatolica;Trachusa anatolica;No
Trachusa balcanica;Trachusa balcanica;Yes
Trachusa byssina;Trachusa byssina;Yes
Trachusa byssina ;Trachusa byssina;Yes
Trachusa byssinum;Trachusa byssina;Yes
Trachusa dumerlei;Trachusa dumerlei;Yes
Trachusa dumerlei ;Trachusa dumerlei;Yes
Trachusa grandicornis;Trachusa grandicornis;No
Trachusa heinzi;Trachusa heinzi;No
Trachusa integra;Trachusa integra;Yes
Trachusa interrupta;Trachusa interrupta;Yes
Trachusa interrupta (aff.);-;No
Trachusa interrupta integra;Trachusa interrupta;Yes
Trachusa interrupta s.l.;-;No
Trachusa laeviventris;Trachusa laeviventris;Yes
Trachusa laticeps;Trachusa laticeps;Yes
Trachusa maxima;Trachusa maxima;No
Trachusa pubescens;Trachusa pubescens;Yes
Trachusa serratulae;Trachusa byssina;Yes
Trachusa sp.;-;No
Trachusa taurica;Trachusa taurica;No
Trachusa varia;Trachusa varia;Yes
Trichothurgus dubius;Trichothurgus dubius;No
Triepeolus tristis;Triepeolus tristis;Yes
Trigona (Heterotrigona) sp.;-;No
Trigona amalthea;Trigona amalthea;No
Trigona branneri;Trigona branneri;No
Trigona corvina;Trigona corvina;No
Trigona pallens;Trigona pallens;No
Trigona postica luteipennis;Trigona postica luteipennis;No
Trigona silvestriana;Trigona silvestriana;No
Trigona simpsoni;Trigona simpsoni;No
Trigona trinidadensis;Trigona trinidadensis;No
Trigona fulviventris;Trigona fulviventris;No
Trilia deserticola;Trilia deserticola;No
Trilia kerzhneri;Trilia kerzhneri;No
Trilia montana;Trilia montana;No
Trilia muoti;Trilia muoti;No
Trilia sola;Trilia sola;No
Trinomia triodonta;Lipotriches triodonta;No
Vestitohalictus  sp.;-;No
Vestitohalictus concinnus;Seladonia concinna;Yes
Vestitohalictus cypricus;Seladonia cyprica;Yes
Vestitohalictus inpilosus;Seladonia inpilosa;Yes
Vestitohalictus jucundus;Seladonia juncunda;No
Vestitohalictus microcardia;Seladonia microcardia;Yes
Vestitohalictus pici sensu lato;Seladonia pici;No
Vestitohalictus pollinosus;Seladonia pollinosa;Yes
Vestitohalictus pollinosus pollinosus;Seladonia pollinosa;Yes
Vestitohalictus radoszkovskii;Seladonia radoszkovskii;No
Vestitohalictus tuberculatus;Seladonia tuberculata;Yes
Vestitohalictus vestitus;Seladonia vestita;Yes
Vestitohalictus vestitus tectus;Seladonia vestita;Yes
Vestitohalictus vestitus vestitus;Seladonia vestita;Yes
Xeralictus bicuspidariae;Xeralictus bicuspidariae;No
Xeralictus timberlakei;Xeralictus timberlakei;No
Xylocopa  sp.;-;No
Xylocopa  sp. (Ancien monde);-;No
Xylocopa (Proxylocopa)  sp.;-;No
Xylocopa (Xylocopa)  sp.;-;No
Xylocopa aestuans;Xylocopa aestuans;No
Xylocopa albinotum;Xylocopa albinotum;No
Xylocopa amedaei;Xylocopa amedaei;Yes
Xylocopa andarabana;Xylocopa andarabana;No
Xylocopa appendiculata;Xylocopa appendiculata;No
Xylocopa armeniaca;Xylocopa armeniaca;No
Xylocopa auripennis;Xylocopa auripennis;No
Xylocopa basalis;Xylocopa basalis;No
Xylocopa caffra;Xylocopa caffra;No
Xylocopa cantabrita;Xylocopa cantabrita;Yes
Xylocopa dejeanii;Xylocopa dejeanii;No
Xylocopa fenestrata;Xylocopa fenestrata;No
Xylocopa flavicollis;Xylocopa flavicollis;No
Xylocopa flavobicincta;Xylocopa flavobicincta;No
Xylocopa flavorufa;Xylocopa flavorufa;No
Xylocopa fuscata;Xylocopa fuscata;No
Xylocopa hellenica;Xylocopa olivieri;Yes
Xylocopa hottentotta;Xylocopa hottentotta;No
Xylocopa inconstans;Xylocopa inconstans;No
Xylocopa iranica;Xylocopa iranica;No
Xylocopa iris;Xylocopa iris;Yes
Xylocopa iris ;Xylocopa iris;Yes
Xylocopa iris cupripennis;Xylocopa iris;Yes
